,Zipcode,Beds,Number_Of_Reviews
885,11238,1,106
886,11238,1,242
887,11222,3,2
888,11206,1,4
889,11211,1,8
890,11217,1,3
891,10016,1,4
892,10009,1,2
893,10016,1,2
894,10028,2,9
895,10029,1,120
896,10035,1,3
897,10034,5,0
898,11102,2,0
899,11102,3,0
900,11103,1,11
901,11103,3,7
902,11103,4,0
903,11218,1,15
904,11233,1,0
905,11222,1,1
906,11238,1,3
907,11215,4,59
908,11385,1,37
909,11211,1,94
910,11211,1,137
911,11211,1,0
912,11211,2,13
913,10002,3,48
914,10003,1,44
915,11237,2,2
916,10012,1,1
917,11221,2,2
918,11231,2,67
919,10014,2,30
920,10021,1,8
921,11211,1,2
922,10002,2,11
923,10003,1,0
924,10023,3,42
925,10012,1,0
926,11205,2,2
927,11205,1,43
928,10002,1,0
929,11221,2,0
930,11233,3,2
931,11233,4,4
932,11233,4,1
933,11233,4,1
934,11206,2,55
935,10029,3,36
936,10029,2,26
937,10029,2,87
938,11375,3,10
939,11221,1,18
940,11221,1,1
941,10029,1,48
942,10029,2,13
943,10003,1,11
944,11211,1,8
945,11211,2,3
946,10012,1,3
947,11249,2,30
948,10003,2,0
949,10028,1,69
950,10128,2,16
951,10002,1,29
952,10003,1,30
953,11201,1,14
954,11211,2,11
955,10039,2,4
956,11211,1,5
957,10009,1,1
958,10001,3,5
959,10006,2,0
960,10011,1,45
961,10014,1,156
962,10039,1,1
963,10304,1,13
964,11211,3,23
965,10002,1,15
966,11226,1,4
967,11216,3,2
968,10029,1,16
969,11216,1,9
970,11222,1,22
971,10014,1,124
972,11211,1,13
973,11226,1,41
974,10011,1,4
975,10014,1,71
976,11101,2,16
977,10065,2,223
978,11211,1,52
979,11216,1,3
980,10009,3,26
981,10032,1,1
982,10065,1,10
983,11205,1,19
984,11211,1,2
985,11228,3,36
986,11231,1,17
987,10024,1,11
988,10031,4,8
989,10031,4,173
990,11226,1,1
991,11238,1,1
992,11249,1,4
993,11249,1,3
994,11217,6,12
995,11201,2,1
996,10009,1,43
997,10030,1,97
998,11212,1,0
999,11207,2,4
1000,11238,1,18
1001,11207,1,0
1002,11207,1,3
1003,10028,1,99
1004,10028,1,14
1005,11211,1,125
1006,11211,1,27
1007,10001,1,107
1008,10001,1,151
1009,10009,3,0
1010,11201,1,1
1011,11249,1,24
1012,10001,1,59
1013,10001,1,76
1014,10009,1,92
1015,10128,2,33
1016,11215,2,0
1017,11216,1,187
1018,11216,3,142
1019,10003,2,13
1020,10009,1,95
1021,10011,1,1
1022,10014,2,3
1023,10016,2,2
1024,10025,3,9
1025,10025,1,11
1026,11201,1,14
1027,11205,1,10
1028,11206,2,0
1029,11206,3,29
1030,11211,2,13
1031,11211,1,15
1032,10002,2,35
1033,10005,1,4
1034,10065,1,2
1035,10128,1,1
1036,11211,1,10
1037,11225,1,15
1038,11226,1,1
1039,11225,1,18
1040,11249,2,3
1041,11206,2,0
1042,11238,2,2
1043,10003,1,2
1044,10014,6,0
1045,10014,3,0
1046,10014,3,2
1047,10014,3,2
1048,11231,1,24
1049,10002,1,45
1050,10039,1,21
1051,11222,1,7
1052,11249,1,9
1053,11216,2,0
1054,10009,1,9
1055,10016,2,0
1056,10021,2,15
1057,10024,1,14
1058,10025,3,10
1059,11106,1,20
1060,11237,1,2
1061,11217,1,2
1062,11249,1,13
1063,10027,3,0
1064,11221,1,0
1065,11211,2,106
1066,11222,2,23
1067,10036,2,109
1068,10036,2,59
1069,11215,3,21
1070,11221,2,10
1071,10002,2,6
1072,10002,1,82
1073,10002,1,78
1074,11215,2,45
1075,10011,2,30
1076,10031,3,1
1077,11205,1,92
1078,11205,1,119
1079,11205,1,112
1080,10024,1,64
1081,10024,1,0
1082,11205,1,24
1083,11211,1,24
1084,11225,2,0
1085,10003,1,119
1086,10003,1,2
1087,11201,1,15
1088,11201,1,10
1089,10014,1,26
1090,11211,1,0
1091,10012,1,2
1092,10025,1,27
1093,11211,1,27
1094,11217,1,2
1095,10026,1,7
1096,10026,1,11
1097,10032,1,3
1098,11222,2,4
1099,10011,1,25
1100,10014,1,10
1101,11210,1,1
1102,10030,1,0
1103,11237,2,5
1104,10002,2,5
1105,10002,2,12
1106,10002,3,9
1107,10023,1,6
1108,10301,1,104
1109,10033,1,30
1110,10032,2,14
1111,10032,2,23
1112,11205,1,20
1113,11205,2,43
1114,11215,5,5
1115,10003,1,0
1116,10014,1,6
1117,10028,1,0
1118,10452,1,17
1119,10452,1,7
1120,10452,1,55
1121,10025,1,15
1122,10025,1,12
1123,11105,1,3
1124,11211,4,9
1125,10002,2,16
1126,10011,4,17
1127,10012,1,7
1128,10013,3,59
1129,10013,4,10
1130,10014,1,14
1131,10014,3,6
1132,10023,1,4
1133,11216,1,2
1134,10002,1,24
1135,10013,1,5
1136,11217,2,9
1137,11237,1,2
1138,10009,1,80
1139,10012,1,47
1140,10014,1,42
1141,10014,1,27
1142,10075,1,30
1143,10128,1,0
1144,11215,1,0
1145,10022,1,3
1146,11249,2,172
1147,10006,1,52
1148,10014,1,57
1149,10003,1,1
1150,10011,1,2
1151,11217,1,4
1152,11231,1,23
1153,10019,1,12
1154,10028,5,11
1155,10031,4,4
1156,10038,5,4
1157,10031,5,20
1158,10031,2,22
1159,10461,1,13
1160,10461,1,7
1161,10461,1,7
1162,10012,1,3
1163,10039,1,163
1164,10027,1,0
1165,10027,1,7
1166,10031,1,48
1167,11211,1,25
1168,10472,3,39
1169,10472,4,5
1170,10472,2,82
1171,10472,2,8
1172,10472,3,19
1173,11211,1,2
1174,11238,1,4
1175,11209,1,4
1176,11221,2,8
1177,11249,2,7
1178,11249,1,1
1179,10003,1,5
1180,10011,1,28
1181,11211,1,2
1182,11249,1,1
1183,11201,1,92
1184,11215,1,3
1185,11216,3,4
1186,10010,1,28
1187,10016,1,0
1188,10029,3,2
1189,10065,1,14
1190,11216,2,1
1191,11225,1,5
1192,10014,1,21
1193,11211,1,0
1194,11249,1,7
1195,10012,1,9
1196,10014,1,34
1197,10014,1,6
1198,11216,2,2
1199,10003,1,0
1200,11211,2,18
1201,10002,5,51
1202,10002,1,54
1203,10002,4,9
1204,10009,2,82
1205,10011,1,1
1206,10014,3,121
1207,10027,1,27
1208,11215,3,1
1209,10003,2,200
1210,10009,2,3
1211,10014,1,0
1212,10025,1,1
1213,11379,1,33
1214,11385,10,6
1215,11385,1,5
1216,11385,1,1
1217,11379,6,12
1218,11206,1,1
1219,10032,1,8
1220,10032,1,1
1221,11221,2,3
1222,11205,1,0
1223,10012,1,0
1224,11211,1,28
1225,11211,2,8
1226,11222,1,0
1227,10010,2,27
1228,11211,1,46
1229,11216,1,7
1230,11216,4,8
1231,10038,2,12
1232,11238,1,0
1233,10038,1,1
1234,11222,1,2
1235,11201,1,0
1236,11216,1,79
1237,11216,1,106
1238,11216,1,91
1239,10014,1,8
1240,11238,1,12
1241,11216,1,96
1242,10002,1,0
1243,10301,1,0
1244,10301,1,0
1245,11205,3,0
1246,11211,1,47
1247,10010,2,0
1248,11217,1,31
1249,11217,1,59
1250,11217,1,32
1251,11211,3,11
1252,11217,2,0
1253,10021,1,0
1254,11385,1,0
1255,11221,1,20
1256,10021,1,85
1257,10025,1,13
1258,11216,1,30
1259,10009,2,14
1260,10011,1,3
1261,10012,2,2
1262,11233,4,24
1263,11233,2,2
1264,10029,1,20
1265,11225,1,7
1266,10029,1,63
1267,11211,1,10
1268,11249,1,0
1269,10016,1,64
1270,11201,1,12
1271,11201,1,45
1272,11206,1,5
1273,11206,4,14
1274,11211,2,4
1275,11222,1,4
1276,11206,1,5
1277,11211,1,28
1278,11211,1,7
1279,11211,1,12
1280,10002,4,48
1281,10029,2,0
1282,11215,4,0
1283,11226,1,1
1284,10003,1,12
1285,10009,1,4
1286,11205,1,256
1287,11205,2,248
1288,10003,1,0
1289,10003,1,4
1290,10003,1,1
1291,11211,3,79
1292,11215,3,1
1293,10002,1,56
1294,11238,1,0
1295,11238,1,1
1296,11238,1,4
1297,11222,1,2
1298,10301,2,0
1299,11222,2,5
1300,10009,1,38
1301,10012,1,7
1302,10031,1,94
1303,10009,1,11
1304,11215,1,18
1305,11249,1,21
1306,11211,1,12
1307,10009,1,36
1308,10014,2,5
1309,10016,1,5
1310,11205,1,7
1311,10014,1,4
1312,11211,1,9
1313,11215,4,2
1314,10003,2,18
1315,10003,1,4
1316,10014,1,24
1317,10030,2,13
1318,11216,2,0
1319,10026,1,1
1320,10031,1,2
1321,11201,1,108
1322,11207,3,27
1323,11211,2,2
1324,10009,1,43
1325,10009,1,36
1326,10025,2,0
1327,10025,1,0
1328,11205,1,4
1329,11222,1,18
1330,11237,1,12
1331,11237,2,21
1332,11237,2,13
1333,11237,1,20
1334,11237,2,0
1335,11237,2,0
1336,10002,1,1
1337,10002,1,21
1338,10003,1,28
1339,10011,1,20
1340,11238,1,15
1341,10128,2,2
1342,11211,1,1
1343,11238,2,1
1344,10003,1,2
1345,10016,1,12
1346,10019,1,15
1347,11238,1,6
1348,11238,2,1
1349,10002,1,149
1350,10009,1,128
1351,10038,1,1
1352,10001,1,17
1353,11211,1,7
1354,10001,1,179
1355,11201,2,3
1356,11238,1,2
1357,11249,1,0
1358,11205,1,0
1359,10003,1,84
1360,10003,1,24
1361,11231,4,1
1362,11233,4,6
1363,11233,5,69
1364,11205,2,0
1365,10036,2,1
1366,11106,2,23
1367,11206,1,19
1368,10002,1,1
1369,11106,1,39
1370,11106,1,40
1371,11233,2,14
1372,11238,1,87
1373,11238,1,76
1374,10002,1,75
1375,11226,1,4
1376,11226,1,0
1377,11211,3,4
1378,11211,1,1
1379,10014,3,0
1380,11211,2,9
1381,11211,1,121
1382,11211,1,119
1383,10011,1,8
1384,10029,2,2
1385,10029,1,22
1386,10029,1,2
1387,10009,1,11
1388,11232,1,20
1389,11238,1,10
1390,10002,1,3
1391,10024,1,17
1392,10009,1,6
1393,10024,2,4
1394,11238,3,0
1395,11233,2,0
1396,10075,1,8
1397,10075,1,4
1398,10075,1,2
1399,10075,1,11
1400,11211,1,17
1401,11249,1,20
1402,10009,2,87
1403,10003,1,0
1404,10010,1,27
1405,10025,3,16
1406,10036,2,0
1407,10030,2,2
1408,11211,2,107
1409,10003,2,125
1410,10009,2,133
1411,11206,1,12
1412,11201,1,50
1413,11201,1,29
1414,11201,1,28
1415,11211,1,0
1416,11238,2,3
1417,10009,1,4
1418,11101,1,14
1419,11101,1,0
1420,10280,1,4
1421,11222,1,0
1422,10013,2,0
1423,10013,1,0
1424,10002,1,0
1425,10002,1,10
1426,10014,1,4
1427,10069,2,1
1428,11201,1,4
1429,11206,2,2
1430,11221,6,7
1431,11238,2,2
1432,11221,4,17
1433,11221,6,3
1434,10012,1,84
1435,10013,1,28
1436,10013,2,67
1437,10014,1,91
1438,10002,1,1
1439,10032,1,1
1440,11233,1,0
1441,11233,1,44
1442,11225,5,0
1443,10003,1,2
1444,10027,1,56
1445,10027,3,67
1446,10031,2,0
1447,10037,3,6
1448,10037,5,1
1449,11233,1,1
1450,11233,1,80
1451,11233,1,35
1452,11233,1,37
1453,10027,1,105
1454,10027,1,58
1455,10037,1,34
1456,10037,1,23
1457,10037,3,13
1458,10027,1,84
1459,10019,1,10
1460,11211,2,0
1461,10025,2,0
1462,10009,2,35
1463,10016,2,8
1464,10024,2,1
1465,11216,1,12
1466,11225,1,0
1467,10009,1,29
1468,11226,4,0
1469,10003,2,105
1470,10009,3,86
1471,10017,1,33
1472,10030,2,4
1473,10032,3,8
1474,10035,3,19
1475,11226,1,0
1476,11226,4,3
1477,11226,1,6
1478,10035,1,84
1479,11216,1,0
1480,10005,1,7
1481,10002,1,8
1482,11221,1,0
1483,10002,1,11
1484,10002,1,25
1485,10002,2,8
1486,11211,1,57
1487,10027,1,43
1488,10002,1,11
1489,11221,1,44
1490,10028,1,16
1491,11205,1,4
1492,11226,3,0
1493,11211,1,1
