,Host_Id,Review_Scores_Rating,
192,25183,92,
193,25100,90,
194,25533,81,
195,25533,72,
196,25533,90,
197,25551,97,
198,25632,100,
199,26210,94,
200,26333,96,
201,26640,79,
202,26640,91,
203,26640,80,
204,27104,93,
205,27580,92,
206,27969,92,
207,27848,88,
208,27848,86,
209,27848,78,
210,27848,88,
211,27848,88,
212,27848,93,
213,27848,86,
214,28267,95,
215,28217,100,
216,28738,92,
217,28702,90,
218,29096,95,
219,29642,90,
220,29642,96,
221,29805,100,
222,29762,83,
223,29762,89,
224,29762,87,
225,29762,88,
226,29762,90,
227,29762,89,
228,29762,85,
229,30193,93,
230,30529,100,
231,30811,80,
232,30990,95,
233,32045,98,
234,32105,95,
235,32169,85,
236,32169,81,
237,32169,83,
238,32330,85,
239,32330,94,
240,32330,84,
241,32330,79,
242,32330,84,
243,32294,90,
244,32294,88,
245,32704,88,
246,32704,92,
247,32800,100,
248,32774,88,
249,33405,93,
250,33279,84,
251,33279,87,
252,33279,85,
253,33279,90,
254,33279,86,
255,33279,82,
256,33279,90,
257,33279,94,
258,33279,84,
259,34128,99,
260,35017,96,
261,34915,92,
262,35271,94,
263,35271,60,
264,35271,84,
265,35271,85,
266,35271,87,
267,35377,88,
268,35935,92,
269,36017,83,
270,35845,90,
271,35935,94,
272,35935,86,
273,35935,93,
274,36841,100,
275,36897,96,
276,37286,93,
277,37286,91,
278,37809,97,
279,38265,91,
280,38434,92,
281,38513,85,
282,38648,84,
283,38694,92,
284,38649,90,
285,38736,93,
286,39260,95,
287,39636,95,
288,39866,98,
289,39827,92,
290,40275,100,
291,40100,98,
292,41091,100,
293,40893,92,
294,41091,92,
295,41249,92,
296,41358,92,
297,41437,96,
298,42273,98,
299,42032,93,
300,42756,96,
301,42756,95,
302,42756,94,
303,43321,100,
304,43671,92,
305,43772,100,
306,44136,97,
307,44145,89,
308,44029,100,
309,44263,98,
310,45016,90,
311,45098,80,
312,45120,80,
313,45445,92,
314,45324,60,
315,45324,80,
316,45324,76,
317,45324,72,
318,45324,40,
319,45609,100,
320,45587,92,
321,45682,98,
322,45775,90,
323,46529,92,
324,46650,96,
325,46650,93,
326,46969,98,
327,46978,85,
328,46978,88,
329,46978,89,
330,47691,97,
331,47716,85,
332,47618,100,
333,47737,72,
334,48143,98,
335,48143,100,
336,48143,96,
337,48143,90,
338,48165,92,
339,48247,91,
340,48599,98,
341,48599,94,
342,48957,100,
343,49236,62,
344,49236,74,
345,49366,98,
346,49623,98,
347,49875,92,
348,50148,84,
349,50148,86,
350,50335,93,
351,50124,97,
352,50912,94,
353,51038,93,
354,51038,91,
355,51038,92,
356,51038,86,
357,51038,89,
358,51618,100,
359,52034,92,
360,52007,96,
361,52233,100,
362,52263,90,
363,52335,94,
364,52751,91,
365,52788,94,
366,52677,92,
367,53024,85,
368,53132,87,
369,53179,100,
370,54090,96,
371,53867,92,
372,54255,96,
373,54255,92,
374,54253,92,
375,54253,100,
376,54275,96,
377,54275,99,
378,54275,98,
379,54255,100,
380,54622,100,
381,54622,92,
382,54712,92,
383,54712,92,
384,54833,95,
385,55176,93,
386,55298,92,
387,55298,97,
388,55298,82,
389,55298,92,
390,55298,86,
391,55298,79,
392,55021,98,
393,55021,100,
394,55021,99,
395,55289,88,
396,55458,90,
397,55469,60,
398,55469,100,
399,55469,97,
400,55469,100,
401,55421,100,
402,55775,97,
403,56104,96,
404,56246,95,
405,56284,100,
406,56326,90,
407,56512,98,
408,56663,90,
409,56471,78,
410,56653,93,
411,56990,92,
412,56944,82,
413,56944,82,
414,56944,85,
415,56944,96,
416,57101,90,
417,57101,96,
418,57406,96,
419,57574,98,
420,57877,89,
421,57877,93,
422,57877,92,
423,57877,100,
424,58366,93,
425,58546,92,
426,58745,90,
427,58702,91,
428,59185,92,
429,59254,76,
430,59028,97,
431,58979,98,
432,59023,96,
433,59172,90,
434,59172,90,
435,59172,100,
436,59172,86,
437,59172,84,
438,59172,78,
439,59172,89,
440,59777,90,
441,59734,94,
442,59734,94,
443,59777,93,
444,59777,79,
445,59777,80,
446,59777,79,
447,59777,80,
448,59777,80,
449,59734,94,
450,59734,92,
451,60038,92,
452,60046,92,
453,60049,94,
454,60252,95,
455,60185,92,
456,60270,91,
457,60584,100,
458,60584,99,
459,60787,96,
460,60787,92,
461,60885,95,
462,60944,92,
463,60923,93,
464,60810,100,
465,60810,86,
466,61161,95,
467,61403,97,
468,61531,79,
469,61414,86,
470,61414,82,
471,61414,86,
472,61414,89,
473,61414,90,
474,61531,81,
475,61494,95,
476,61446,94,
477,61531,77,
478,61852,92,
479,62001,80,
480,61862,98,
481,62352,95,
482,62316,93,
483,62330,96,
484,62583,85,
485,62541,98,
486,62407,87,
487,62508,87,
488,62407,91,
489,62687,97,
490,62791,92,
491,62745,86,
492,62855,100,
493,62812,90,
494,62955,72,
495,63036,80,
496,63116,95,
497,63349,90,
498,63349,93,
499,63349,80,
500,63318,94,
501,63607,92,
502,63588,98,
503,63588,100,
504,63613,94,
505,63613,92,
506,63607,100,
507,63945,96,
